Who;Date;modification;modified class;Class (in Italian);subclasses (S) or superclasses (P)
AR;28/01/20;removal;Territory;;S: Country, Disputed, Not Self Governing, Other, Self Governining
AR;28/01/20;removal;Calendar;;S. Calendar Busy, Calendar Link, Calendar Request
AR;28/01/20;removal;Communication;;S: EMail, Language, Messaging, Telephone
AR;28/01/20;expansion in subclassess;Document Status;;
AR;28/01/20;removal;Thesis Degree;;
AR;28/01/20;removal;Data Item;;P: Entity, Continuant, Gen Dep. Continuant, Info Content Entity
AR;28/01/20;removal;Datum label;;P: Entity, Continuant, Gen Dep. Continuant, Info Content Entity
AR;28/01/20;removal;Services;;P: Entity, Continuant, Gen Dep. Continuant, Info Content Entity
AR;28/01/20;removal;Librarian;;P: Entity, Continuant, Independent Continuant, Agent, Person
AR;28/01/20;removal;Librarian Emeritus;;P: Entity, Continuant, Independent Continuant, Agent, Person
AR;28/01/20;move to other class;Software;;P: Entity, Continuant, Independent Continuant, Material Entity
AR;28/01/20;renaming;Realizable Entity;;P: Specifically Dependent Continuant
FB;24/02/20;removal;Site;;S: Facility, S: Building, Room
FB;24/02/20;removal;Continent;;
FB;24/02/20;removal;Populated Place;;
FB;24/02/20;add;State University;Università Statale;P: University
FB;24/02/20;add;Non-State University;Università Privata;P: University
FB;24/02/20;add;has university size (proprietà);;Proprietà: Small, Medium, Large
FB;24/02/20;add;Research Line;Linea di Ricerca;P: Specifically Dependent Continuant
FB;24/02/20;removal;Faculty Member Emeritus;;P: People
FB;24/02/20;removal;Professore Emeritus;;P: People
FB;24/02/20;removal;Post-Doc;;P: Non-Faculty Accademic
FB;24/02/20;removal;Undergraduate Student;;P: Student
FB;24/02/20;removal;Graduate Student;;P: Student
FB;24/02/20;add;Tenure Track;Tempo Indeterminato;P: Faculty Member
FB;24/02/20;add;Fixed Terms;Tempo Determinato;P: Faculty Member
FB;24/02/20;add;Research Mindset;Forma Mentis;P: Quality
FB;24/02/20;add;Prestige;Prestigio;P: Research Mindset
FB;24/02/20;add;Finalization of Results;Finalizzazione dei risultati;P: Research Mindset
FB;24/02/20;add;Competence;Competenza;P: Research Mindset
FB;24/02/20;add;Tollerance;Tolleranza;P: Research Mindset
FB;24/02/20;add;Institutional Mobility;Mobilità Insituzionale;P: Research Mindset
FB;24/02/20;add;Geographic Mobility;Mobilità Geografica;P: Research Mindset
FB;24/02/20;add;Inclination For Discovery;Propensione alla scoperta;P: Research Mindset
FB;24/02/20;add;Inclination For Transdisciplinarity;Propensione alla transdisciplinarità;P: Research Mindset
FB;24/02/20;add;Inclination For International Pubblication;Propensione alla pubblicazione dei risultati attraverso canali internazionali;P: Research Mindset
FB;24/02/20;add;Pubblication Channel Selection;Scelta del canale di pubblicazione;P: Quality
FB;24/02/20;add;Pubblication Channel;Canale di pubblicazione;P: Information Content Entity
FB;26/02/20;add;Proactivity In Collaboration;Proattività della collaborazione;P: Research Mindset
FB;26/02/20;add;Inclination For Collaboration;Propensione alla collaboratività nella produzione di conoscenza;P: Research Mindset
FB;26/02/20;add;Competitivity;Competitività;P: Research Mindset
FB;26/02/20;add;Management;Abilità gestionale;P: Quality
FB;26/02/20;removal;US Resident Role;;P: Role
FB;26/02/20;removal;Process;;P: Occurrent
FB;26/02/20;add;Mentor Role;Mentore;P: Advising Role
FB;26/02/20;add;Mentee Role;"""Mentorato""";P: Advesee Role
RS;05/03/20;removal;Occurrant;;P:Entity
RS;05/03/20;removal;Relation Type;;P: Code
RS;05/03/20;removal;Telephone Type;;P: Code
RS;05/03/20;removal;Type;;P: Code
RS;05/03/20;removal;Email;;P: Communication
RS;05/03/20;removal;Language;;P: Communication
RS;05/03/20;removal;Messaging;;P: Communication
RS;05/03/20;removal;Telephone;;P: Communication
FB;04/03/20;add;Formal;Formale;P: Communication
FB;04/03/20;add;Informal;Informale;P: Communication
FB;04/03/20;removal;Addressing;;P: Thing
RS;05/03/20;removal;Area;;P: Thing
RS;05/03/20;removal;Contact Qualifier;;P: Concept
RS;05/03/20;removal;Date/Time Value Precision;;P: Concept
